location,city,pincode,latitude,longitude
Hazratganj,Lucknow,226001,26.8500,80.9490
Aliganj,Lucknow,226024,26.8890,80.9400
Gomti Nagar,Lucknow,226010,26.8490,81.0000
Indira Nagar,Lucknow,226016,26.8780,80.9960
Charbagh,Lucknow,226004,26.8315,80.9210
Alambagh,Lucknow,226005,26.8080,80.9180
Mahanagar,Lucknow,226006,26.8730,80.9650
Chinhat,Lucknow,226010,26.8780,81.0520
Rajajipuram,Lucknow,226017,26.8460,80.8750
Aminabad,Lucknow,226018,26.8500,80.9320
Kapoorthala,Lucknow,226024,26.8840,80.9500
Vikas Nagar,Lucknow,226022,26.9000,80.9800
Ashiyana,Lucknow,226012,26.7900,80.9300
Krishna Nagar,Lucknow,226023,26.8000,80.9300
Jankipuram,Lucknow,226021,26.9300,80.9400
SRMCEM,Lucknow,226013,26.8467,80.9496
Banthra,Lucknow,226401,26.7600,80.8500
