delivery_id,customer,latitude,longitude,distance_km,traffic,weather,delivery_time_min
D001,Customer 1,19.987454,77.040827,4.49,Low,Cloudy,29.37
D002,Customer 2,20.045071,76.973956,5.7,Medium,Cloudy,39.42
D003,Customer 3,20.023199,76.964489,4.52,Medium,Clear,33.76
D004,Customer 4,20.009866,76.998945,1.1,Medium,Rain,25.29
D005,Customer 5,19.965602,77.048565,6.36,Medium,Clear,39.78
D006,Customer 6,19.965599,76.974206,4.68,High,Clear,38.13
D007,Customer 7,19.955808,77.017214,5.23,Medium,Clear,42.81
D008,Customer 8,20.036618,77.026162,4.9,Low,Clear,29.71
D009,Customer 9,20.010112,76.973764,2.96,Medium,Clear,25.74
D010,Customer 10,20.020807,77.022822,3.32,Low,Clear,23.92
D011,Customer 11,19.952058,76.986778,5.51,Medium,Clear,37.7
D012,Customer 12,20.046991,77.013231,5.4,Low,Cloudy,33.94
D013,Customer 13,20.033244,77.013353,3.95,Low,Cloudy,30.64
D014,Customer 14,19.971234,77.003577,3.22,High,Cloudy,41.15
D015,Customer 15,19.968182,76.959029,5.55,High,Rain,51.61
D016,Customer 16,19.96834,77.03353,4.97,Medium,Clear,34.15
D017,Customer 17,19.980424,76.982078,2.87,Medium,Clear,26.65
D018,Customer 18,20.002476,76.968652,3.29,Low,Rain,24.25
D019,Customer 19,19.993195,76.954078,4.86,Low,Clear,24.89
D020,Customer 20,19.979123,77.009089,2.51,Low,Rain,32.14
D021,Customer 21,20.011185,77.017756,2.23,Medium,Clear,29.85
D022,Customer 22,19.963949,76.951659,6.45,Medium,Rain,49.05
D023,Customer 23,19.979214,77.001209,2.31,Medium,Clear,26.97
D024,Customer 24,19.986636,76.97265,3.22,Low,Rain,31.81
D025,Customer 25,19.995607,77.014517,1.59,High,Cloudy,41.6
D026,Customer 26,20.028518,76.967437,4.65,Medium,Rain,45.96
D027,Customer 27,19.969967,77.019094,3.89,Medium,Clear,31.18
D028,Customer 28,20.001423,76.988674,1.19,Medium,Cloudy,20.89
D029,Customer 29,20.009241,77.043673,4.68,Medium,Rain,37.9
D030,Customer 30,19.954645,76.963752,6.31,Low,Cloudy,38.85
D031,Customer 31,20.010754,76.984107,2.05,Low,Cloudy,18.93
D032,Customer 32,19.967052,76.961347,5.45,Medium,Cloudy,36.53
D033,Customer 33,19.956505,77.042469,6.56,Low,Clear,34.3
D034,Customer 34,20.044889,77.037734,6.36,Low,Cloudy,35.2
D035,Customer 35,20.046563,76.975794,5.76,Low,Cloudy,41.1
D036,Customer 36,20.03084,77.015998,3.81,Low,Rain,35.88
D037,Customer 37,19.980461,77.031722,3.96,High,Clear,38.82
D038,Customer 38,19.959767,77.00552,4.51,Medium,Clear,38.48
D039,Customer 39,20.018423,77.002965,2.07,Medium,Rain,32.51
D040,Customer 40,19.994015,76.974185,2.78,Low,Rain,26.54
D041,Customer 41,19.962204,76.95931,5.98,Medium,Clear,44.49
D042,Customer 42,19.999518,77.039722,4.15,Medium,Cloudy,37.22
D043,Customer 43,19.953439,77.040042,6.66,Low,Clear,33.53
D044,Customer 44,20.040932,77.01331,4.76,Medium,Clear,34.47
D045,Customer 45,19.975878,76.983903,3.17,Low,Clear,20.05
D046,Customer 46,20.016252,76.984921,2.4,Medium,Clear,21.45
D047,Customer 47,19.981171,77.022596,3.16,Medium,Cloudy,34.42
D048,Customer 48,20.002007,77.039711,4.16,Low,Clear,32.37
D049,Customer 49,20.004671,77.038709,4.08,Low,Rain,30.12
D050,Customer 50,19.968485,77.027988,4.56,Medium,Rain,43.93
D051,Customer 51,20.046958,77.014203,5.43,Medium,Cloudy,38.77
D052,Customer 52,20.027513,76.958414,5.31,High,Cloudy,45.78
D053,Customer 53,20.04395,76.966163,6.03,Medium,Clear,38.34
D054,Customer 54,20.039483,77.039855,6.05,Low,Rain,39.61
D055,Customer 55,20.00979,77.010643,1.56,Low,Cloudy,19.39
D056,Customer 56,20.042187,76.95092,6.95,Medium,Clear,41.31
D057,Customer 57,19.958849,76.960147,6.19,Low,Rain,43.57
D058,Customer 58,19.969598,77.01635,3.79,Medium,Rain,39.01
D059,Customer 59,19.954523,76.950506,7.23,High,Rain,59.2
D060,Customer 60,19.982533,76.966081,4.04,Medium,Cloudy,32.44
D061,Customer 61,19.988868,77.004873,1.34,Low,Cloudy,16.63
D062,Customer 62,19.977135,77.01919,3.24,Medium,Clear,31.23
D063,Customer 63,20.032874,77.015196,3.99,Medium,Rain,41.46
D064,Customer 64,19.985675,76.972427,3.29,Medium,Rain,34.23
D065,Customer 65,19.978093,77.021218,3.29,High,Clear,36.46
D066,Customer 66,20.00427,76.973725,2.79,Low,Clear,23.41
D067,Customer 67,19.964092,76.98254,4.39,High,Clear,35.55
D068,Customer 68,20.03022,77.024649,4.23,High,Rain,49.55
D069,Customer 69,19.957455,77.014963,4.98,Low,Rain,35.93
D070,Customer 70,20.048689,77.034922,6.53,Low,Clear,37.83
